Category,Question,Answer
Visit Management,What are the steps for Monitoring visit preparation?,"Ensure system access; finalize training and delegation logs; stage essential documents and logs; verify IP/accountability; confirm eCRF/eSource access; share contacts and facility instructions; track action items for the visit."

Protocol Deviations,What is a major vs minor deviation?,"Major deviations impact safety or primary endpoints; minor deviations have limited impact. Use sponsor/site definitions and document rationale."
Protocol Deviations,How do I report a deviation?,"Create a deviation report with description, date/time, cause, impact assessment, corrective/preventive actions (CAPA), investigator review, and notify sponsor/IRB if thresholds are met."
Protocol Deviations,What are the steps for Protocol deviation?,"Identify and describe the issue; assess impact with the PI (safety/data/eligibility); implement immediate correction; complete deviation form; determine if IRB/ sponsor notification is required; implement CAPA; file in regulatory/source."

Informed Consent,What are the steps to obtain informed consent?,"Use current IRB-approved form, review purpose/risks/alternatives, answer questions, confirm voluntariness, obtain signatures/date/time, provide a copy to subject, and file the original per SOP."
Informed Consent,How do I document re-consent?,"Use the new IRB-approved version, explain the change, obtain signatures/date/time, provide a copy, and update the consent log and binder."
Informed Consent,What are the steps for Source documentation fundamentals?,"Record who/what/when/where/why; entries are contemporaneous, legible, attributable; use single-line strikeouts for corrections with date/initials/reason; ensure ALCOA+ principles; cross-reference forms and logs as needed."

Regulatory & IRB,What belongs in the regulatory binder?,"IRB approvals, protocol/IB, safety reports, delegation and training logs, CVs/licenses, correspondence, device/drug documents, deviations, essential documents, and local policy items."
Regulatory & IRB,What are the steps for Regulatory binder maintenance?,"Keep current IRB approvals and correspondence; update delegation/training logs; file safety reports; maintain CVs/licenses; archive superseded documents; align with sponsor binder index; perform periodic QC."

Monitoring Visits,What is needed for SIV/IMV prep?,"Confirm access to systems, finalize training and delegation logs, prepare enrollment/screening logs, verify IP/accountability, ensure eCRF/eSource access, and stage essential documents. Track action items."
Monitoring Visits,How to handle monitor findings?,"Review issues with PI, correct source/CRF errors, document CAPA, update logs, and confirm resolution at next visit."

Data Management & eCRF,What is the query resolution process?,"Review the query against source, correct CRF if needed, respond with concise rationale, have PI sign if clinical, and close within sponsor timelines."
Data Management & eCRF,What are the steps for Concomitant medication documentation?,"Collect generic/brand, dose, route, frequency, start/stop dates; assess prohibited/allowed lists; reconcile at each visit; document changes; notify PI for clinical assessment; update eCRF timely."

Administration,What are the steps for Delegation log management?,"Add/remove staff with roles; obtain training and CV/license; capture dated signatures; ensure PI authorization; keep log current; QC regularly; provide to monitor."
Administration,What are the steps for Safety report distribution?,"Receive safety updates (IB/RSI/CIOMS); log receipt; distribute to PI/sub-Is; obtain acknowledgment/signature where required; update binder; notify IRB if policy requires."
Administration,What are the steps for IRB submission packet assembly?,"Compile protocol/IB, consent(s), recruitment materials, training/certificates, device/drug documents, and site forms; verify versions; complete IRB application; QC; submit and track correspondence."

Training,What are the steps for SOP basics: GCP overview?,"Ensure staff complete GCP training; review ICH-GCP principles and ALCOA+; understand roles/responsibilities; maintain training records; assess competency before task delegation."
Training,What are the steps for Site initiation: required logs?,"Prepare delegation/training logs, screening/enrollment logs, safety distribution lists, accountability templates, eCRF access, and emergency contacts; align with sponsor templates."
